"id","name","temperament"
"0","Affenpinscher","Confident, Famously Funny, Fearless"
"1","Afghan hound","Independent, Sweet, Silly"
"2","Airedale terrier","Friendly, Clever, Courageous"
"3","Akita","Courageous, Dignified, Profoundly Loyal"
"4","Alaskan malamute","Affectionate, Loyal, Playful"
"5","American eskimo dog","Playful, Perky, Smart"
"6","American foxhound","Independent, Easy  Going, Sweet  Tempered"
"7","American staffordshire terrier","Confident, Smart, Good  Natured"
"8","American water spaniel","Eager, Happy, Charming"
"9","Anatolian shepherd dog","Loyal, Independent, Reserved"
"10","Australian cattle dog","Alert, Curious, Pleasant"
"11","Australian shepherd","Smart, Work  Oriented, Exuberant"
"12","Australian terrier","Affectionate, Courageous, Spirited"
"13","Basenji","Independent, Smart, Poised"
"14","Basset hound","Charming, Patient, Low  Key"
"15","Beagle","Friendly, Curious, Merry"
"16","Bearded collie","Loyal, Charming, Frollicking"
"17","Beauceron","Gentle, Faithful, Obedient"
"18","Bedlington terrier","Loyal, Charming, Frollicking"
"19","Belgian malinois","Confident, Smart, Hardworking"
"20","Belgian sheepdog","Bright, Watchful, Serious  Minded"
"21","Belgian tervuren","Courageous, Alert, Intelligent"
"22","Bernese mountain dog","Good  Natured, Calm, Strong"
"23","Bichon frise","Playful, Curious, Peppy"
"24","Black and tan coonhound","Easy  Going, Bright, Brave"
"25","Black russian terrier","Intelligent, Calm, Powerful"
"26","Bloodhound","Friendly, Independent, Inquisitive"
"27","Bluetick coonhound","Smart, Devoted, Tenacious"
"28","Border collie","Affectionate, Smart, Energetic"
"29","Border terrier","Affectionate, Happy, Plucky"
"30","Borzoi","Affectionate, Loyal, Regally Dignified"
"31","Boston terrier","Friendly, Bright, Amusing"
"32","Bouvier des flandres","Affectionate, Courageous, Strong  Willed"
"33","Boxer","Bright, Fun  Loving, Active"
"34","Boykin spaniel","Friendly, Eager, Lovable"
"35","Briard","Confident, Smart, Faithful"
"36","Brittany","Bright, Fun  Loving, Upbeat"
"37","Brussels griffon","Loyal, Alert, Curious"
"38","Bull terrier","Playful, Charming, Mischievous"
"39","Bulldog","Friendly, Courageous, Calm"
"40","Bullmastiff","Affectionate, Loyal, Brave"
"41","Cairn terrier","Alert, Cheerful, Busy"
"42","Canaan dog","Confident, Alert, Vigilant"
"43","Cane corso","Affectionate, Intelligent, Majestic"
"44","Cardigan welsh corgi","Affectionate, Loyal, Smart"
"45","Cavalier king charles spaniel","Affectionate, Gentle, Graceful"
"46","Chesapeake bay retriever","Affectionate, Bright, Sensitive"
